CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_Yes,Online Backup_Yes,Device Protection_Yes,Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Payment Risk Category,Tenure Group
3668-QPYBK,Los Angeles,1,0,0,0,2,1,1,53.85,108.15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Medium Risk,New
9237-HQITU,Los Angeles,0,0,0,1,2,1,1,70.7,151.65,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,High Risk,New
9305-CDSKC,Los Angeles,0,0,0,1,8,1,1,99.65,820.5,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,High Risk,New
7892-POOKP,Los Angeles,0,0,1,1,28,1,1,104.8,3046.05,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,High Risk,Long term
0280-XJGEX,Los Angeles,1,0,0,1,49,1,1,103.7,5036.3,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,Low Risk,Long term
4190-MFLUW,Los Angeles,0,0,1,0,10,1,0,55.2,528.35,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Low Risk,New
8779-QRDMV,Los Angeles,1,1,0,0,1,0,1,39.65,39.65,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,High Risk,New
1066-JKSGK,Los Angeles,1,0,0,0,1,1,0,20.15,20.15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Medium Risk,New
6467-CHFZW,Los Angeles,1,0,1,1,47,1,1,99.35,4749.15,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,High Risk,Long term
8665-UTDHZ,Los Angeles,1,0,1,0,1,0,0,30.2,30.2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,High Risk,New
8773-HHUOZ,Los Angeles,0,0,0,0,17,1,1,64.7,1093.1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Medium Risk,Medium
